City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
608,Coahuayana,MX,72.05,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
610,Acarau,BR,75.36,broken clouds,-2.8856,-40.12,castelo pizzaria
611,Kudahuvadhoo,MV,83.23,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
615,San Andres,CO,80.6,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
617,Beibei,CN,73.0,scattered clouds,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
619,Ginda,IN,83.77,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
624,Tubli,PH,81.1,scattered clouds,13.9318,124.1478,Maui Beach
626,Paragominas,BR,70.84,broken clouds,-2.9667,-47.4833,.
630,Vangaindrano,MG,79.03,clear sky,-23.35,47.6,Hotel Fanilo
631,Puerto Escondido,MX,80.46,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
633,Gigmoto,PH,80.98,broken clouds,13.7796,124.39,Cj's Travellers Inn
637,Luoyang,CN,75.24,clear sky,34.6836,112.4536,易家国际青年旅舍
641,Korla,CN,76.66,clear sky,41.7597,86.1469,Gulisitan Hotel
644,Buchanan,LR,73.4,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
648,Conceicao Do Araguaia,BR,73.4,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
650,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
651,Pauini,BR,70.54,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
656,Urumqi,CN,82.4,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
662,Tagcatong,PH,82.76,scattered clouds,9.0022,125.2569,SKY’S FLOATING COTTAGES
669,Dennery,LC,80.6,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
670,Xai-Xai,MZ,81.82,clear sky,-25.0519,33.6442,Complexo da Familia
674,Kirakira,SB,78.44,overcast clouds,-10.4544,161.9205,SanBiz Lodge
676,Mbini,GQ,75.2,moderate rain,1.574,9.6134,
677,Umm Lajj,SA,82.8,clear sky,25.0213,37.2685,Moon light Furnished Units
684,Kerouane,GN,76.53,overcast clouds,9.2667,-9.0167,
688,Isabela,PH,84.2,broken clouds,6.7085,121.9711,Isawad Resort
