City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Garden City,US,2021-04-27 23:21:50,42.3256,-83.331,86.0,34,40,18.41
122,Vernon,CA,2021-04-27 23:21:51,50.2581,-119.2691,62.01,31,100,4.61
123,Beringovskiy,RU,2021-04-27 23:20:26,63.05,179.3167,32.41,98,100,4.27
124,Krasnoselkup,RU,2021-04-27 23:21:51,65.7,82.4667,31.53,98,100,8.99
125,Bathsheba,BB,2021-04-27 23:21:51,13.2167,-59.5167,78.8,65,40,11.5
126,Pangnirtung,CA,2021-04-27 23:21:52,66.1451,-65.7125,19.4,86,20,8.05
127,Lavrentiya,RU,2021-04-27 23:21:52,65.5833,-171.0,31.46,89,100,4.9
128,Sola,VU,2021-04-27 23:21:52,-13.8833,167.55,80.33,67,52,9.48
129,Zhangye,CN,2021-04-27 23:21:53,38.9342,100.4517,43.48,32,11,3.87
130,Kaeo,NZ,2021-04-27 23:21:53,-35.1,173.7833,66.0,66,19,5.99
131,Husavik,IS,2021-04-27 23:21:53,66.0449,-17.3389,39.2,75,0,3.44
132,Darhan,MN,2021-04-27 23:21:54,49.4867,105.9228,36.07,69,74,4.5
133,Ratnagiri,IN,2021-04-27 23:21:54,16.9833,73.3,79.77,79,2,4.03
134,Talara,PE,2021-04-27 23:21:24,-4.5772,-81.2719,69.6,83,83,15.35
135,Freeport,US,2021-04-27 23:19:39,40.6576,-73.5832,57.99,50,1,8.05
136,Hithadhoo,MV,2021-04-27 23:21:54,-0.6,73.0833,82.17,65,98,1.72
137,Mumford,GH,2021-04-27 23:21:55,5.2618,-0.759,82.49,83,91,12.57
138,Quatre Cocos,MU,2021-04-27 23:21:55,-20.2078,57.7625,77.0,94,75,10.36
139,Fairbanks,US,2021-04-27 23:18:14,64.8378,-147.7164,48.99,18,1,12.66
140,Te Anau,NZ,2021-04-27 23:21:55,-45.4167,167.7167,43.56,75,96,1.21
141,Sobrance,SK,2021-04-27 23:21:56,48.7445,22.1814,34.0,50,78,1.01
142,Chor,PK,2021-04-27 23:21:56,25.5167,69.7667,81.5,50,0,9.28
143,Saldanha,ZA,2021-04-27 23:21:56,-33.0117,17.9442,57.2,88,97,2.3
144,Hasaki,JP,2021-04-27 23:21:57,35.7333,140.8333,66.2,63,75,10.36
145,Nikolskoye,RU,2021-04-27 23:21:57,59.7035,30.7861,35.01,80,20,2.24
146,College,US,2021-04-27 23:21:32,64.8569,-147.8028,46.99,21,75,8.05
147,Kavieng,PG,2021-04-27 23:21:57,-2.5744,150.7967,83.68,71,42,6.96
148,Moerai,PF,2021-04-27 23:21:57,-22.4333,-151.3333,78.31,70,72,8.1
149,Salym,RU,2021-04-27 23:21:58,60.0625,71.4789,33.62,86,97,3.87
150,Nemuro,JP,2021-04-27 23:21:58,43.3236,145.575,41.34,72,64,3.49
151,Ilulissat,GL,2021-04-27 23:21:58,69.2167,-51.1,35.6,69,75,2.68
152,Victoria,HK,2021-04-27 23:20:22,22.2855,114.1577,75.0,89,98,9.69
153,Rawson,AR,2021-04-27 23:21:59,-43.3002,-65.1023,67.39,35,94,8.95
154,Hami,CN,2021-04-27 23:21:59,42.8,93.45,53.46,19,24,8.01
155,East London,ZA,2021-04-27 23:21:59,-33.0153,27.9116,65.71,70,92,11.5
156,Alofi,NU,2021-04-27 23:22:00,-19.0595,-169.9187,82.09,79,98,23.89
157,Castro,BR,2021-04-27 23:22:00,-24.7911,-50.0119,57.29,69,0,0.63
158,Ambulu,ID,2021-04-27 23:22:00,-8.345,113.6058,75.24,80,65,4.25
159,Olafsvik,IS,2021-04-27 23:22:00,64.8945,-23.7142,44.11,78,99,3.91
160,Vaini,TO,2021-04-27 23:22:01,-21.2,-175.2,75.2,83,75,17.27
161,Ulladulla,AU,2021-04-27 23:22:01,-35.35,150.4667,62.01,93,99,3.24
162,Yulara,AU,2021-04-27 23:22:01,-25.2406,130.9889,59.0,47,0,8.05
163,Norman Wells,CA,2021-04-27 23:22:02,65.282,-126.8329,26.6,26,75,13.8
164,Hovd,MN,2021-04-27 23:22:02,48.0056,91.6419,42.91,37,100,6.4
165,Airai,TL,2021-04-27 23:22:02,-8.9266,125.4092,62.29,59,10,0.96
166,Kota,IN,2021-04-27 23:22:03,25.1833,75.8333,85.26,10,2,5.73
167,Pitimbu,BR,2021-04-27 23:22:03,-7.4706,-34.8086,78.8,89,40,6.91
168,Arraial Do Cabo,BR,2021-04-27 23:22:03,-22.9661,-42.0278,69.8,94,75,4.61
169,Doha,QA,2021-04-27 23:22:03,25.2867,51.5333,84.2,51,0,4.61
170,Sinnamary,GF,2021-04-27 23:22:04,5.3833,-52.95,75.06,88,100,5.08
171,Cidreira,BR,2021-04-27 23:22:04,-30.1811,-50.2056,60.8,71,0,9.06
172,Yerofey Pavlovich,RU,2021-04-27 23:22:04,53.9667,121.9667,27.63,85,100,6.93
173,North Platte,US,2021-04-27 23:22:05,41.1239,-100.7654,64.4,55,90,18.41
174,Khandyga,RU,2021-04-27 23:22:05,62.6667,135.6,32.27,99,100,2.55
175,Pavlodar,KZ,2021-04-27 23:22:05,52.3,76.95,60.8,36,40,11.18
176,Jurm,AF,2021-04-27 23:22:05,36.8648,70.8342,55.27,43,0,5.55
177,Georgetown,MY,2021-04-27 23:22:06,5.4112,100.3354,80.01,89,40,3.44
178,Chapais,CA,2021-04-27 23:22:06,49.7834,-74.8492,51.8,46,90,2.3
179,Cherskiy,RU,2021-04-27 23:22:06,68.75,161.3,24.93,83,43,11.54
180,Epinal,FR,2021-04-27 23:22:07,48.1833,6.45,46.4,46,0,1.14
181,Marawi,PH,2021-04-27 23:22:07,7.9986,124.2928,77.0,83,36,5.99
182,Maragogi,BR,2021-04-27 23:22:07,-9.0122,-35.2225,77.65,86,19,6.78
183,Bagdarin,RU,2021-04-27 23:22:08,54.4333,113.6,20.77,53,100,8.57
184,San Carlos De Bariloche,AR,2021-04-27 23:22:08,-41.1456,-71.3082,55.4,67,75,20.71
185,De-Kastri,RU,2021-04-27 23:22:08,51.4667,140.7833,39.29,82,98,10.69
186,Shimoda,JP,2021-04-27 23:22:08,34.6667,138.95,64.4,72,75,14.97
